*
08/11/2021 08:22:32 ___ 08/11/2021 11:13:51
1 file(s)
9999  intervals of 1 s 
date beginning	time beginning	date end	time end	relative time [s]	PMtotal_classic - 	PM1_classic - 	PM2.5_classic - 	PM4_classic - 	
08/11/2021	08:22:32	08/11/2021	08:22:33	0,00	0,27	0,27	0,27	0,27
08/11/2021	08:22:33	08/11/2021	08:22:34	1,00	1,25	0,68	1,24	1,25
08/11/2021	08:22:34	08/11/2021	08:22:35	1,98	0,36	0,35	0,36	0,36
08/11/2021	08:22:35	08/11/2021	08:22:36	2,98	0,37	0,37	0,37	0,37
08/11/2021	08:23:03	08/11/2021	08:23:04	30,98	0,37	0,37	0,37	0,37
08/11/2021	08:23:04	08/11/2021	08:23:05	31,95	0,45	0,45	0,45	0,45
08/11/2021	08:23:05	08/11/2021	08:23:06	32,95	0,64	0,62	0,64	0,64
08/11/2021	08:23:06	08/11/2021	08:23:07	33,95	0,24	0,24	0,24	0,24
08/11/2021	08:23:07	08/11/2021	08:23:08	34,94	0,47	0,47	0,47	0,47
08/11/2021	08:23:08	08/11/2021	08:23:09	35,95	1,13	0,73	1,13	1,13
08/11/2021	08:23:09	08/11/2021	08:23:10	36,94	0,59	0,59	0,59	0,59
08/11/2021	08:23:10	08/11/2021	08:23:11	37,94	0,25	0,25	0,25	0,25
08/11/2021	08:23:11	08/11/2021	08:23:12	38,94	0,43	0,43	0,43	0,43
08/11/2021	08:23:12	08/11/2021	08:23:13	39,94	0,26	0,26	0,26	0,26
08/11/2021	08:23:40	08/11/2021	08:23:41	68,00	0,45	0,45	0,45	0,45
08/11/2021	08:23:41	08/11/2021	08:23:42	69,00	0,39	0,39	0,39	0,39
08/11/2021	08:23:42	08/11/2021	08:23:43	69,98	0,23	0,23	0,23	0,23
08/11/2021	08:23:43	08/11/2021	08:23:44	70,97	0,43	0,43	0,43	0,43
08/11/2021	08:23:44	08/11/2021	08:23:45	71,98	0,69	0,69	0,69	0,69
08/11/2021	08:23:45	08/11/2021	08:23:46	72,95	0,40	0,39	0,40	0,40
08/11/2021	08:23:46	08/11/2021	08:23:47	73,97	0,49	0,49	0,49	0,49
