date	time	relative time [s]	Cm [mg/m^3]	Cn [P/cm^3]	M1,0 [µm]	M1,0 [µm]	
07/12/2021	08:53:03	0,00	0,006068	100,477013	0,297158	0,297158	
07/12/2021	08:53:13	9,94	0,014342	87,791519	0,334537	0,334537	
07/12/2021	08:53:23	19,87	0,018057	86,701172	0,347369	0,347369	
07/12/2021	08:53:33	30,02	0,011534	94,408958	0,305804	0,305804	
07/12/2021	08:53:44	40,17	0,012735	194,990509	0,282740	0,282740	
07/12/2021	08:53:54	50,25	0,010748	366,369293	0,271827	0,271827	
07/12/2021	08:54:03	59,97	0,011452	190,378845	0,275540	0,275540	
07/12/2021	08:54:13	69,92	0,007221	107,264763	0,300153	0,300153	
07/12/2021	08:54:23	80,11	0,014125	74,670677	0,324940	0,324940	
07/12/2021	08:54:33	90,05	0,028933	67,240067	0,358265	0,358265	
07/12/2021	08:54:43	99,95	0,015559	66,971596	0,347870	0,347870	
07/12/2021	08:54:54	110,14	0,009903	83,811378	0,327590	0,327590	
07/12/2021	08:55:03	120,08	0,008106	82,454071	0,326869	0,326869	
07/12/2021	08:55:13	130,02	0,013246	71,770203	0,340153	0,340153	
07/12/2021	08:55:23	140,11	0,141723	65,692780	0,394319	0,394319	
07/12/2021	08:55:33	150,03	0,007051	70,507095	0,325941	0,325941	
07/12/2021	08:55:43	160,03	0,009859	74,577690	0,333891	0,333891	
07/12/2021	08:55:53	170,03	0,037923	70,134407	0,364575	0,364575	
07/12/2021	08:56:03	180,11	0,012882	64,526955	0,352035	0,352035	
07/12/2021	08:56:13	190,09	0,011973	67,514481	0,347561	0,347561	
07/12/2021	08:56:23	199,98	0,018427	78,468491	0,336919	0,336919	
07/12/2021	08:56:34	210,16	0,014783	77,290810	0,340777	0,340777	
07/12/2021	08:56:43	220,09	0,017075	76,568359	0,335546	0,335546	
07/12/2021	08:56:53	230,05	0,012872	81,544075	0,342091	0,342091	
07/12/2021	08:57:04	240,19	0,020665	95,397217	0,325609	0,325609	
07/12/2021	08:57:14	250,14	0,023079	90,592712	0,347140	0,347140	
07/12/2021	08:57:23	260,03	0,017813	97,211555	0,314576	0,314576	
07/12/2021	08:57:34	270,14	0,027642	103,003601	0,316941	0,316941	
07/12/2021	08:57:43	280,05	0,011941	157,696396	0,279230	0,279230	
07/12/2021	08:57:54	290,17	0,017460	79,008453	0,347045	0,347045	
07/12/2021	08:58:03	300,12	0,070010	78,098694	0,362178	0,362178	
07/12/2021	08:58:14	310,22	0,016429	74,842712	0,356441	0,356441	
07/12/2021	08:58:24	320,16	0,014364	72,675842	0,338072	0,338072	
07/12/2021	08:58:33	330,08	0,007616	79,829796	0,325026	0,325026	
07/12/2021	08:58:44	340,17	0,018824	82,266121	0,347939	0,347939	
07/12/2021	08:58:54	350,28	0,013130	73,306229	0,349125	0,349125	
07/12/2021	08:59:04	360,17	0,021707	77,018517	0,343748	0,343748	
07/12/2021	08:59:13	370,11	0,016868	75,837112	0,359659	0,359659	
07/12/2021	08:59:24	380,17	0,014218	77,744255	0,337341	0,337341	
07/12/2021	08:59:34	390,14	0,018112	87,786629	0,348726	0,348726	
07/12/2021	08:59:44	400,28	0,020936	84,432327	0,366165	0,366165	
07/12/2021	08:59:54	410,25	0,016767	72,580566	0,354657	0,354657	
07/12/2021	09:00:04	420,20	0,017320	75,566643	0,356226	0,356226	
07/12/2021	09:00:14	430,14	0,047033	76,193504	0,378979	0,378979	
07/12/2021	09:00:24	440,31	0,020000	73,576820	0,352453	0,352453	
07/12/2021	09:00:34	450,25	0,069286	80,900246	0,374856	0,374856	
07/12/2021	09:00:44	460,16	0,022448	86,427612	0,352977	0,352977	
07/12/2021	09:00:54	470,16	0,015875	86,162201	0,334843	0,334843	
07/12/2021	09:01:04	480,28	0,016312	83,531647	0,352898	0,352898	
07/12/2021	09:01:14	490,25	0,203259	83,441948	0,350292	0,350292	
07/12/2021	09:01:24	500,36	0,011511	76,837875	0,342440	0,342440	
07/12/2021	09:01:34	510,34	0,034551	80,995598	0,359520	0,359520	
07/12/2021	09:01:44	520,27	0,014262	76,115784	0,335504	0,335504	
07/12/2021	09:01:54	530,39	0,225270	77,370102	0,377889	0,377889	
07/12/2021	09:02:04	540,36	0,008728	74,487007	0,333916	0,333916	
07/12/2021	09:02:14	550,28	0,011432	100,834183	0,309328	0,309328	
07/12/2021	09:02:24	560,30	0,019493	328,726379	0,258384	0,258384	
07/12/2021	09:02:34	570,25	0,008241	72,950935	0,325496	0,325496	
07/12/2021	09:02:43	579,78	0,102309	167,013458	0,290078	0,290078	
07/12/2021	09:02:54	590,33	0,022373	311,796906	0,258131	0,258131	
07/12/2021	09:03:04	600,39	0,015158	90,874039	0,319463	0,319463	
07/12/2021	09:03:14	610,33	0,013982	76,654999	0,348388	0,348388	
07/12/2021	09:03:24	620,45	0,020893	74,028694	0,354428	0,354428	
07/12/2021	09:03:34	630,48	0,020639	214,001724	0,281342	0,281342	
07/12/2021	09:03:44	640,45	0,629641	133,145920	0,316326	0,316326	
07/12/2021	09:03:54	650,36	0,017265	74,120522	0,349968	0,349968	
07/12/2021	09:04:04	660,30	0,019451	77,561935	0,342017	0,342017	
07/12/2021	09:04:14	670,41	0,012869	78,828026	0,345616	0,345616	
