FIDAS®, 0.18 - 18.0 µm #1
07/12/2021 08:53:34 ___ 07/12/2021 10:07:13
1 file(s)
441  intervals of 1 s 
date beginning	time beginning	date end	time end	relative time [s]	PM1_ambient - 	PM2.5_ambient - 	PM4_ambient - 	PM10_ambient - 	
07/12/2021	08:53:34	07/12/2021	08:53:44	0,00	10,09	15,46	20,44	20,67
07/12/2021	08:53:44	07/12/2021	08:53:54	10,08	17,55	21,58	24,27	24,14
07/12/2021	08:53:53	07/12/2021	08:54:03	19,80	9,18	13,98	18,32	18,61
07/12/2021	08:54:03	07/12/2021	08:54:13	29,75	6,85	11,02	13,17	13,06
07/12/2021	08:54:13	07/12/2021	08:54:23	39,94	5,83	9,56	12,59	15,57
07/12/2021	08:54:23	07/12/2021	08:54:33	49,87	6,01	11,87	16,98	24,87
07/12/2021	08:54:33	07/12/2021	08:54:43	59,78	5,78	10,85	16,62	18,51
07/12/2021	08:54:44	07/12/2021	08:54:54	69,97	6,43	11,66	15,84	15,73
07/12/2021	08:54:53	07/12/2021	08:55:03	79,91	6,55	11,15	13,83	13,70
07/12/2021	08:55:03	07/12/2021	08:55:13	89,84	5,80	10,97	17,24	17,66
07/12/2021	08:55:13	07/12/2021	08:55:23	99,94	6,27	14,75	21,43	41,81
07/12/2021	08:55:23	07/12/2021	08:55:33	109,86	5,47	9,37	12,02	11,89
07/12/2021	08:55:33	07/12/2021	08:55:43	119,86	5,63	11,07	15,62	15,35
07/12/2021	08:55:43	07/12/2021	08:55:53	129,86	5,51	13,54	24,90	33,44
07/12/2021	08:55:53	07/12/2021	08:56:03	139,94	5,29	11,06	17,69	17,60
07/12/2021	08:56:03	07/12/2021	08:56:13	149,92	5,82	11,10	16,88	16,83
07/12/2021	08:56:13	07/12/2021	08:56:23	159,81	5,83	12,01	19,31	21,45
07/12/2021	08:56:24	07/12/2021	08:56:34	169,98	6,04	12,35	19,60	19,78
07/12/2021	08:56:33	07/12/2021	08:56:43	179,92	5,64	11,61	20,34	21,05
07/12/2021	08:56:43	07/12/2021	08:56:53	189,87	6,64	13,31	18,90	19,06
07/12/2021	08:56:54	07/12/2021	08:57:04	200,02	6,84	13,06	18,83	22,40
07/12/2021	08:57:04	07/12/2021	08:57:14	209,97	7,42	15,24	24,40	26,93
07/12/2021	08:57:13	07/12/2021	08:57:23	219,86	6,62	12,47	17,41	20,42
07/12/2021	08:57:24	07/12/2021	08:57:34	229,97	6,37	13,63	20,27	26,25
07/12/2021	08:57:33	07/12/2021	08:57:43	239,87	8,11	13,61	18,07	18,35
07/12/2021	08:57:44	07/12/2021	08:57:54	250,00	6,15	13,77	22,00	22,56
07/12/2021	08:57:53	07/12/2021	08:58:03	259,95	6,53	15,30	20,51	44,52
07/12/2021	08:58:04	07/12/2021	08:58:14	270,05	6,04	14,18	22,18	22,31
07/12/2021	08:58:14	07/12/2021	08:58:24	279,98	5,67	11,26	16,33	17,86
07/12/2021	08:58:23	07/12/2021	08:58:33	289,91	6,33	10,46	13,17	13,01
07/12/2021	08:58:34	07/12/2021	08:58:44	300,00	6,86	13,92	20,76	22,94
07/12/2021	08:58:44	07/12/2021	08:58:54	310,11	6,03	12,73	19,10	18,92
07/12/2021	08:58:54	07/12/2021	08:59:04	320,00	6,22	12,57	18,94	22,62
07/12/2021	08:59:03	07/12/2021	08:59:13	329,94	6,30	14,46	22,61	22,78
07/12/2021	08:59:14	07/12/2021	08:59:24	340,00	5,84	12,33	19,16	19,28
07/12/2021	08:59:24	07/12/2021	08:59:34	349,97	7,16	15,07	23,72	24,09
07/12/2021	08:59:34	07/12/2021	08:59:44	360,11	7,27	16,66	27,08	27,38
07/12/2021	08:59:44	07/12/2021	08:59:54	370,08	6,17	12,85	20,05	21,22
07/12/2021	08:59:54	07/12/2021	09:00:04	380,03	6,05	14,08	23,53	23,35
07/12/2021	09:00:04	07/12/2021	09:00:14	389,97	6,57	16,30	26,58	39,02
07/12/2021	09:00:14	07/12/2021	09:00:24	400,14	6,04	12,60	19,64	22,45
07/12/2021	09:00:24	07/12/2021	09:00:34	410,08	6,60	16,79	25,12	47,20
07/12/2021	09:00:34	07/12/2021	09:00:44	419,98	7,30	15,12	24,12	26,41
07/12/2021	09:00:44	07/12/2021	09:00:54	429,98	6,41	13,50	20,55	21,18
07/12/2021	09:00:54	07/12/2021	09:01:04	440,11	7,18	14,61	21,47	22,11
07/12/2021	09:01:04	07/12/2021	09:01:14	450,08	6,31	13,73	18,51	48,37
07/12/2021	09:01:14	07/12/2021	09:01:24	460,19	6,24	12,43	17,62	17,38
07/12/2021	09:01:24	07/12/2021	09:01:34	470,17	5,90	15,70	29,15	34,33
07/12/2021	09:01:34	07/12/2021	09:01:44	480,09	6,00	12,02	17,27	18,54
07/12/2021	09:01:44	07/12/2021	09:01:54	490,22	6,70	15,36	21,87	60,24
07/12/2021	09:01:54	07/12/2021	09:02:04	500,19	6,04	11,01	14,38	14,18
07/12/2021	09:02:04	07/12/2021	09:02:14	510,11	6,79	12,05	17,24	17,21
07/12/2021	09:02:14	07/12/2021	09:02:24	520,12	13,03	20,57	27,99	28,90
