date beginning,time beginning,time end,PM1_ambient - ,PM2.5_ambient - ,PM4_ambient - ,PM10_ambient - ,Cm [mg/m^3],Cn [P/cm^3],"M1,0 [µm]","M1,0 [µm].1",T [°C),HR [%).,Pression [mBar),Vit. Vent [m/s),Dir. Vent [°),Lumi [W/m²),Elev.,Lat.,Lon.,trajet
07/12/2021,08:53:34,08:53:44,"10,09","15,46","20,44","20,67","0,011534","94,408958","0,305804","0,305804","8,4","94,4","1007,5","1,59",333.0,"615,8",-27.0,47.22824777942151,-1.553037241101265,Erdre_aller_0712
07/12/2021,08:53:44,08:53:54,"17,55","21,58","24,27","24,14","0,012735","194,990509","0,282740","0,282740","8,4","94,5","1007,5","0,66",340.0,"613,4",77.0,47.22836085129529,-1.553233042359352,Erdre_aller_0712
07/12/2021,08:53:53,08:54:03,"9,18","13,98","18,32","18,61","0,010748","366,369293","0,271827","0,271827","8,4","94,5","1007,5","0,29",18.0,"613,7",67.0,47.22842488903552,-1.553269000723958,Erdre_aller_0712
07/12/2021,08:54:03,08:54:13,"6,85","11,02","13,17","13,06","0,011452","190,378845","0,275540","0,275540","8,4","94,5","1007,5","0,64",42.0,"611,7",65.0,47.22842136863619,-1.5532809030264616,Erdre_aller_0712
07/12/2021,08:54:13,08:54:23,"5,83","9,56","12,59","15,57","0,007221","107,264763","0,300153","0,300153","8,4","94,5","1007,6","0,49",359.0,"610,1",,,,Erdre_aller_0712
07/12/2021,08:54:23,08:54:33,"6,01","11,87","16,98","24,87","0,014125","74,670677","0,324940","0,324940","8,4","94,5","1007,6","0,69",352.0,"613,8",,,,Erdre_aller_0712
07/12/2021,08:54:33,08:54:43,"5,78","10,85","16,62","18,51","0,028933","67,240067","0,358265","0,358265","8,4","94,5","1007,6","0,64",320.0,"610,5",,,,Erdre_aller_0712
07/12/2021,08:54:44,08:54:54,"6,43","11,66","15,84","15,73","0,015559","66,971596","0,347870","0,347870","8,4","94,4","1007,6","0,23",271.0,"612,6",,,,Erdre_aller_0712
07/12/2021,08:54:53,08:55:03,"6,55","11,15","13,83","13,70","0,009903","83,811378","0,327590","0,327590","8,4","94,4","1007,6","0,68",32.0,612,,,,Erdre_aller_0712
07/12/2021,08:55:03,08:55:13,"5,80","10,97","17,24","17,66","0,008106","82,454071","0,326869","0,326869","8,4","94,3","1007,6","0,42",143.0,"608,8",,,,Erdre_aller_0712
