	Chrono	heure	T [°C)	HR [%).	Pression [mBar)	Vit. Vent [m/s)	Dir. Vent [°)	Lumi [W/m²)	POM [Km).	CN[P/cm3)	PMTot[µm)	PM1[µm)	PM2.5[µm)	PM4[µm)	PM10[µm)	Unnamed: 15	date beginning	time beginning	date end	time end	relative time [s]
0	0	10:43:53	11,2	76,7	1022,4	0,3	44	261,5	2	0,00	9254,29	49,17	528,87	1996,28	0,00		08/11/2021	10:43:53	08/11/2021	10:43:54	8480,81
1	1	10:43:54	11,2	76,7	1022,4	0,52	93	261,6	0,44	0,00	17344,57	67,63	604,34	2674,27	0,00		08/11/2021	10:43:54	08/11/2021	10:43:55	8481,81
2	2	10:43:55	11,2	76,7	1022,4	0,71	87	261,5	1,76	0,00	6930,43	53,66	601,25	1878,85	0,00		08/11/2021	10:43:55	08/11/2021	10:43:56	8482,81
3	3	10:43:56	11,1	76,7	1022,4	1,15	89	261,6	2	0,00	10017,00	39,70	390,78	1525,43	0,00		08/11/2021	10:43:56	08/11/2021	10:43:57	8483,81
4	4	10:43:57	11,1	76,7	1022,4	0,72	55	261,7	2	0,00	16746,45	54,06	444,37	1511,75	0,00		08/11/2021	10:43:57	08/11/2021	10:43:58	8484,80
5	5	10:43:58	11,1	76,7	1022,4	0,75	70	261,8	2	0,00	10438,38	53,54	539,79	2031,96	0,00		08/11/2021	10:43:58	08/11/2021	10:43:59	8485,80
6	6	10:43:59	11,2	76,7	1022,4	1,04	91	262	2	0,00	7630,76	43,34	425,16	1492,39	0,00		08/11/2021	10:43:59	08/11/2021	10:44:00	8486,78
7	7	10:44:00	11,2	76,7	1022,4	0,99	100	262,2	2	0,00	11124,08	52,91	480,93	1869,26	0,00		08/11/2021	10:44:00	08/11/2021	10:44:01	8487,80
8	8	10:44:01	11,2	76,7	1022,4	0,77	95	262,5	2	0,00	12012,69	49,04	531,83	2046,15	0,00		08/11/2021	10:44:01	08/11/2021	10:44:02	8488,80
9	9	10:44:02	11,2	76,8	1022,4	0,71	98	262,6	0,5	0,00	11060,50	60,79	513,14	2066,85	0,00		08/11/2021	10:44:02	08/11/2021	10:44:03	8489,78
10	10	10:44:03	11,2	76,8	1022,4	0,54	123	262,7	0,04	0,00	10477,88	58,73	490,70	1499,27	0,00		08/11/2021	10:44:03	08/11/2021	10:44:04	8490,77
11	11	10:44:04	11,2	76,8	1022,4	0,18	125	262,8	0,02	0,00	14755,72	53,54	511,18	2273,58	0,00		08/11/2021	10:44:04	08/11/2021	10:44:05	8491,78
12	12	10:44:05	11,2	76,9	1022,4	0,33	340	263	0,02	0,00	15091,58	59,28	494,95	2167,60	0,00		08/11/2021	10:44:05	08/11/2021	10:44:06	8492,77
13	13	10:44:06	11,2	76,9	1022,4	0,41	355	263	0,02	0,00	8061,82	41,88	436,17	1854,09	0,00		08/11/2021	10:44:06	08/11/2021	10:44:07	8493,77
14	14	10:44:07	11,2	76,9	1022,4	0,41	17	263,1	0,03	0,00	14223,63	40,44	329,96	1475,66	0,00		08/11/2021	10:44:07	08/11/2021	10:44:08	8494,75
15	15	10:44:08	11,2	76,8	1022,4	0,38	351	263,1	0,04	0,00	14875,46	35,75	352,93	1135,92	0,00		08/11/2021	10:44:08	08/11/2021	10:44:09	8495,73
16	16	10:44:09	11,2	76,8	1022,4	0,33	258	263,1	0,04	0,00	4842,89	42,41	388,52	1506,91	0,00		08/11/2021	10:44:09	08/11/2021	10:44:10	8496,75
17	17	10:44:10	11,2	76,8	1022,4	0,45	272	263,3	0,05	0,00	6533,66	35,39	370,94	1416,25	0,00		08/11/2021	10:44:10	08/11/2021	10:44:11	8497,73
18	18	10:44:11	11,2	76,8	1022,4	0,4	287	263,3	0,07	0,00	8493,00	59,43	486,24	1921,56	0,00		08/11/2021	10:44:11	08/11/2021	10:44:12	8498,73
19	19	10:44:12	11,2	76,7	1022,4	0,35	342	263,4	0,08	0,00	10011,07	59,35	532,73	1952,39	0,00		08/11/2021	10:44:12	08/11/2021	10:44:13	8499,72
20	20	10:44:13	11,2	76,7	1022,4	0,44	345	263,4	0,1	0,00	4976,65	33,69	291,23	1059,23	0,00		08/11/2021	10:44:13	08/11/2021	10:44:14	8500,72
21	21	10:44:14	11,2	76,7	1022,4	0,74	322	263,5	0,13	0,00	11286,13	39,44	392,32	1512,14	0,00		08/11/2021	10:44:14	08/11/2021	10:44:15	8501,73
22	22	10:44:15	11,2	76,7	1022,4	0,59	316	263,7	0,16	0,00	3697,27	40,82	355,47	1151,31	0,00		08/11/2021	10:44:15	08/11/2021	10:44:16	8502,70
23	23	10:44:16	11,2	76,7	1022,4	0,39	297	264	0,19	0,00	3569,97	33,99	306,83	1224,26	0,00		08/11/2021	10:44:16	08/11/2021	10:44:17	8503,72
24	24	10:44:17	11,2	76,7	1022,4	0,42	294	264,2	0,24	0,00	9243,79	34,17	277,41	1213,02	0,00		08/11/2021	10:44:17	08/11/2021	10:44:18	8504,70
25	25	10:44:18	11,2	76,7	1022,4	0,14	274	264,4	0,3	0,00	5411,14	41,62	383,00	1231,36	0,00		08/11/2021	10:44:18	08/11/2021	10:44:19	8505,70
26	26	10:44:19	11,2	76,7	1022,4	0,12	247	264,6	0,36	0,00	22307,90	36,95	410,11	1537,01	0,00		08/11/2021	10:44:19	08/11/2021	10:44:20	8506,69
